Reporting Year,Reporting Quarter,County,Reporting Organization,Reporting Organization ID,Total Capacity (Certified),Beginning Census,End Census,Male Census,Female Census,# of Residents Age 66-80,# of Residents  Age 81+,Total Admissions,Total Discharges
2018,4,Steuben,Brookdale Painted Post,690-F-044,110,78,77,23,54,14,63,9,10
2018,4,Monroe,Brookdale Pittsford,370-F-217,52,42,43,21,22,7,36,10,9
2018,4,Erie,Brookdale Williamsville,240-F-851,52,31,39,10,29,11,28,18,10
2018,4,Kings,Brooklyn Adult Care Center,331-F-278,210,204,203,154,49,98,8,13,14
2018,4,Kings,Brooklyn Boulevard ALP,331-S-014,184,179,179,95,84,88,55,15,15
2018,4,Kings,Brooklyn Terrace,331-F-290,200,199,199,150,49,70,7,13,13
2018,4,Onondaga,Buckley Landing Enriched Housing Site #6,520-S-121,85,82,83,12,71,15,68,14,11
2018,4,Queens,Castle Senior Living At Forest Hills,590-S-307,177,161,160,58,102,73,79,15,16
2018,4,Queens,"Central Assisted Living, LLC",590-F-322,186,186,184,105,79,97,23,8,10
2018,4,Essex,Champlain Valley Senior Community,260-F-018,81,61,61,17,44,12,49,7,12
2018,4,Ontario,Clark Meadows at Ferris Hills,530-S-003,54,47,45,14,31,8,37,7,9
2018,4,Monroe,Cobbs Hill Manor,370-F-242,118,87,89,40,49,49,17,12,10
2018,4,Monroe,Crimson Ridge Gardens,370-F-226,52,46,43,12,31,9,32,10,13
2018,4,Rensselaer,Danforth Adult Care Center,600-F-244,80,77,76,22,54,27,44,,7
2018,4,Erie,Dosberg Manor,240-E-141,96,75,78,24,54,13,63,12,9
2018,4,Erie,Eden Heights,240-F-900,120,78,81,23,58,12,67,14,11
2018,4,Cattaraugus,Eden Heights of Olean,040-F-028,120,89,84,19,65,23,58,10,15
2018,4,Erie,Eden Heights of West Seneca,240-F-848,120,91,85,25,60,13,70,,12
2018,4,Erie,Elderwood Assisted Living at Cheektowaga,240-F-886,80,70,72,12,60,9,63,10,7
2018,4,Erie,Elderwood Assisted Living at Tonawanda,240-F-890,120,87,84,14,70,11,72,18,19
2018,4,Erie,Elderwood Assisted Living at West Seneca,240-S-119,128,105,95,20,75,11,84,7,16
2018,4,Niagara,Elderwood Assisted Living at Wheatfield,500-F-103,65,54,55,7,48,7,48,8,7
2018,4,Erie,Elderwood Village at Willamsville,240-S-115,110,81,81,15,66,9,71,14,13
2018,4,Queens,Elm York Home for Adults,590-F-319,262,252,251,127,124,115,22,11,12
2018,4,Monroe,Emeritus at the Landing of Brockport,370-S-849,114,83,85,25,60,7,78,13,10
2018,4,Chautauqua,Fredonia Place,060-S-003,84,81,78,34,44,9,68,,8
2018,4,Chautauqua,Frewsburg Rest Home,060-F-035,81,55,58,23,35,9,41,14,11
2018,4,Genesee,Genesee Adult Home,290-F-007,80,69,64,25,39,31,24,8,7
2018,4,Erie,Glenwell,240-E-146,120,87,88,31,57,27,55,18,17
2018,4,Monroe,Grande'Vie Senior Living Community,370-F-231,178,89,81,26,55,18,62,22,27
2018,4,Monroe,Grande'ville Senior Living Community,370-F-230,115,105,99,31,68,11,88,16,22
2018,4,Suffolk,Gurwin Jewish Fay J. Lindner Residence,700-S-289,200,158,153,46,107,10,143,13,18
2018,4,Otsego,Hampshire House Adult Home,570-F-048,65,48,48,19,29,20,27,8,8
2018,4,Nassau,Harbor House,400-F-305,136,106,105,38,67,27,76,13,17
2018,4,Richmond,Harbor Terrace Adult Home and Assisted Living,610-F-064,363,276,268,168,100,102,24,17,27
2018,4,Kings,Harbor View Home for Adults,331-F-282,162,81,76,34,42,18,49,7,12
2018,4,Rensselaer,"Hawthorne Ridge, Inc.",600-E-114,66,57,61,15,46,10,49,18,12
2018,4,Monroe,Heather Heights of Pittsford,370-F-220,120,82,74,26,48,17,56,12,20
2018,4,Monroe,Heathwood Assisted Living at Penfield,370-S-852,151,109,112,24,88,15,97,21,19
2018,4,Erie,Heathwood Assisted Living at Williamsville,240-F-881,115,98,101,22,79,12,89,10,8
2018,4,Dutchess,"Hedgewood ALP, LLC",230-F-082,192,187,190,123,67,83,21,12,9
2018,4,Broome,Hilltop Manor West,030-E-008,98,89,94,16,78,12,80,19,14
2018,4,Monroe,Hilton East Assisted Living,370-F-208,205,145,142,50,92,62,57,18,16
2018,4,Saratoga,Home of the Good Shepherd at Highpointe,640-E-036,86,79,79,17,62,8,70,14,14
2018,4,Greene,Home Sweet Home on the Hudson,300-F-030,60,48,44,9,35,8,36,,9
2018,4,Ontario,Horizons,530-E-051,76,53,55,11,44,21,30,10,7
2018,4,Chautauqua,Hultquist Place,060-E-015,96,87,85,20,65,14,71,9,11
2018,4,Broome,Ideal Senior Living Center,030-E-039,70,65,64,19,45,12,52,16,16
2018,4,Schenectady,Ingersoll Place,650-E-007,78,67,66,18,48,12,54,,7
2018,4,Nassau,Island Assisted Living,400-E-295,200,194,195,92,103,87,67,14,13
2018,4,Onondaga,Keepsake Village at Greenpoint,520-F-143,57,52,52,19,33,10,40,9,9
2018,4,Schenectady,"Kingsway Manor, LLC",650-F-103,140,122,113,25,88,9,104,16,25
2018,4,Monroe,Legacy at Maiden Park,370-F-254,98,54,54,15,39,8,46,13,7
2018,4,Nassau,Long Beach Assisted Living,400-F-301,200,200,197,127,70,108,28,12,15
2018,4,Queens,Long Island Living Center,590-F-328,306,172,166,71,95,76,83,9,15
2018,4,Onondaga,Loretto EHP #1 Bernardine Apartments,520-S-054,148,122,121,49,72,83,25,12,13
2018,4,Onondaga,Loretto Village Apts. Enriched Housing Site #5,520-S-120,79,79,77,16,61,14,63,,8
2018,4,New York,Lott Assisted Living Residence,420-S-391,131,126,127,52,75,49,78,9,8
2018,4,Queens,"Madison York Assisted Living Community, LLC",590-F-320,226,212,208,120,88,123,56,13,17
2018,4,Queens,Madison York Home for Adults,590-F-321,202,189,189,115,74,106,35,15,17
2018,4,Allegany,Manor Hills,010-F-017,137,109,106,31,75,23,80,7,9
2018,4,Richmond,"Mariners Residence, Inc.",610-F-066,270,211,209,126,83,120,23,16,18
2018,4,Albany,Marjorie Doyle Rockwell Center,000-E-283,52,52,49,8,41,12,37,,7
2018,4,Erie,Mary Agnes Manor ALP,240-F-868,230,181,183,93,90,114,49,10,10
2018,4,Oneida,Masonic Home,510-E-033,96,59,66,23,43,8,56,16,9
2018,4,Jefferson,Meadowbrook Terrace Assisted Living Facility,330-E-004,60,51,51,13,38,15,34,,8
2018,4,Westchester,Meadowview at the Wartburg,800-S-125,105,101,100,13,87,15,83,8,9
2018,4,Chautauqua,Memory Garden,060-F-040,56,48,38,12,26,7,29,,16
2018,4,Kings,Mermaid Manor Home for Adults,331-F-276,200,191,195,127,68,96,20,12,7
2018,4,Livingston,Morgan Estates,350-F-008,78,63,64,12,52,9,54,8,7
2018,4,Niagara,Mount View Assisted Living,500-F-105,150,140,141,40,101,61,62,16,15
2018,4,Richmond,New Broadview Home For Adults,610-F-067,200,184,186,99,87,93,33,13,11
2018,4,Queens,"New Homestead Home for Adults, Inc.",590-F-311,163,105,101,37,64,36,59,7,12
2018,4,Orange,New Windsor Country Inn,540-F-026,86,52,51,18,33,7,44,8,9
2018,4,Cayuga,North Brook Heights Home for Adults,050-F-022,178,94,103,39,64,41,41,16,9
2018,4,Kings,Oceanview Manor Home for Adults,331-F-270,176,167,170,116,54,81,11,13,10
2018,4,Erie,Orchard Heights,240-F-884,200,145,143,43,100,30,111,31,28
2018,4,Nassau,Oyster Bay Manor,400-F-313,72,52,52,20,32,10,40,13,8
2018,4,Erie,Park Creek Senior Living Community,240-F-876,94,80,81,22,59,9,70,8,7
2018,4,Albany,Peregrine Senior Living at Colonie,000-F-312,68,53,56,16,40,9,44,13,10
2018,4,Erie,Peregrine's Landing Senior Community,240-S-109,112,91,86,28,58,17,64,,12
2018,4,Fulton,Pineview Commons H.F.A.,280-F-034,94,81,79,22,57,26,49,,10
2018,4,Oneida,Presbyterian Residential Community,510-E-065,96,88,86,19,67,22,62,12,14
2018,4,Rockland,Promenade at Blue Hill,620-F-085,61,43,42,9,33,9,32,8,7
2018,4,Rockland,Promenade at Chestnut Ridge,620-F-081,198,90,86,20,66,8,78,,8
2018,4,Orange,Promenade at Middletown,540-F-032,163,138,133,36,97,50,79,21,21
2018,4,Ontario,Quail Summit,530-S-001,55,46,44,9,35,8,36,,8
2018,4,Queens,Queens Adult Care Center,590-F-309,352,339,342,243,99,166,25,17,14
2018,4,Monroe,Rochester Presbyterian Home,370-E-022,102,82,74,19,55,19,48,,13
2018,4,Nassau,Rosewood on the Sound,400-F-333,50,44,42,13,29,13,25,,12
2018,4,Monroe,RPH East,370-E-204,64,56,55,7,48,9,45,7,8
2018,4,Monroe,Sage Harbor Baywinde,370-F-236,88,68,62,8,54,8,54,19,21
2018,4,Queens,Sanford Home,590-F-142,200,196,193,103,90,73,7,,8
2018,4,Monroe,Seabury Woods,370-S-841,85,79,77,18,59,10,67,,9
2018,4,Onondaga,Sedgwick Heights,520-E-091,154,147,144,49,95,59,65,11,12
2018,4,Ontario,Seneca Lake Terrace Assisted Living Center,530-F-059,65,50,45,15,30,8,36,18,9
2018,4,Monroe,Shire Senior Living Assisted Living Program,370-F-240,200,169,161,95,66,69,26,,12
2018,4,Kings,Signature Senior Living,331-F-022,199,85,82,40,42,32,48,11,15
2018,4,Nassau,Somerset Gardens,400-S-318,160,140,145,44,101,18,125,16,11
2018,4,Kings,Sunrise at Mill Basin,331-S-011,142,105,102,23,79,17,82,10,16
2018,4,Kings,Sunrise at Sheepshead Bay,331-S-012,189,129,124,33,91,67,56,7,14
2018,4,Westchester,Sunrise of Crestwood,800-F-994,116,88,94,28,66,16,77,13,7
2018,4,Suffolk,Sunrise of Dix Hills,700-F-923,114,81,85,23,62,10,75,19,16
2018,4,Nassau,Sunrise of East Meadow,400-F-322,107,105,104,30,74,15,88,18,20
2018,4,Suffolk,Sunrise of East Setauket,700-F-926,109,84,85,27,58,12,73,11,7
2018,4,Westchester,Sunrise of Fleetwood,800-F-995,136,97,101,32,69,20,78,16,12
2018,4,Nassau,Sunrise of Glen Cove,400-F-327,111,92,85,29,56,8,75,7,14
2018,4,Suffolk,Sunrise of Holbrook,700-F-925,109,88,90,28,62,9,79,15,11
2018,4,Rockland,Sunrise of New City,620-F-089,120,81,73,15,58,10,63,11,12
2018,4,Nassau,Sunrise of North Lynbrook,400-F-328,138,95,93,18,75,8,85,7,11
2018,4,Suffolk,Sunrise of Smithtown,700-F-927,104,79,80,29,51,14,65,8,11
2018,4,Richmond,Sunrise of Staten Island,610-S-003,121,100,92,28,64,15,75,10,16
2018,4,Suffolk,Sunrise of West Babylon,700-F-924,110,99,99,17,82,17,79,13,13
2018,4,Queens,"Surfside Manor Home for Adults, LLC",590-F-314,200,197,199,119,80,76,8,11,9
2018,4,Queens,"Sutton Gardens, LLC",590-F-326,47,44,44,20,24,17,26,13,9
2018,4,Erie,Symphony Manor at Lancaster,240-F-892,117,82,82,36,46,33,23,14,14
2018,4,Chautauqua,"Tanglewood Manor, Inc",060-F-036,158,131,128,43,85,49,60,10,13
2018,4,Erie,Tennyson Court,240-F-874,93,86,83,16,67,14,68,10,12
2018,4,Suffolk,The Arbors at Bohemia,700-F-913,200,126,124,32,92,17,107,18,21
2018,4,Suffolk,The Arbors at Hauppauge,700-F-916,200,122,118,45,73,20,97,18,22
2018,4,Suffolk,The Arbors at Islandia East,700-F-914,200,119,128,35,93,14,114,18,8
2018,4,Suffolk,The Arbors at Islandia West,700-F-915,200,102,104,31,73,18,84,15,13
2018,4,Nassau,The Arbors at Westbury,400-F-307,200,120,118,46,72,18,98,20,23
2018,4,Kings,The Belvedere,331-F-288,200,85,84,37,47,23,59,,10
2018,4,Richmond,The Brielle at Seaview,610-E-012,188,101,101,26,75,28,73,23,23
2018,4,Westchester,The Bristal at Armonk,800-S-151,171,128,130,31,99,20,110,13,11
2018,4,Nassau,The Bristal at East Meadow,400-S-299,151,99,95,23,72,17,78,9,15
2018,4,Suffolk,The Bristal at East Northport,700-S-303,166,142,141,38,103,14,127,11,12
2018,4,Suffolk,The Bristal at Holtsville,700-S-309,166,122,123,26,97,23,98,21,20
2018,4,Suffolk,The Bristal at Lake Grove,700-S-311,155,129,127,29,98,18,108,10,12
2018,4,Nassau,The Bristal at Lake Success,400-F-337,110,77,81,22,59,13,68,16,12
2018,4,Nassau,The Bristal at Lynbrook,400-F-335,200,139,135,32,103,21,113,7,11
2018,4,Nassau,The Bristal at Massapequa,400-F-315,84,72,71,17,54,20,50,8,9
2018,4,Nassau,The Bristal at Massapequa,400-S-314,86,72,70,18,52,7,63,9,11
2018,4,Nassau,The Bristal at North Hills,400-S-309,160,112,106,24,82,8,98,,10
2018,4,Nassau,The Bristal at North Woodmere,400-S-304,155,120,109,25,84,10,99,10,21
2018,4,Suffolk,The Bristal at Sayville,700-F-302,155,120,128,28,100,18,110,18,10
2018,4,Suffolk,The Bristal at West Babylon,700-S-313,187,90,102,31,71,13,88,24,12
2018,4,Nassau,The Bristal at Westbury,400-S-300,180,137,132,36,96,13,118,23,30
2018,4,Westchester,The Bristal at White Plains,800-S-145,190,151,152,37,115,20,132,17,17
2018,4,Westchester,The Country House in Westchester,800-F-007,100,75,82,23,59,9,73,15,8
2018,4,Erie,The Courtyards LLC,240-F-872,133,118,115,59,56,63,41,11,15
2018,4,Greene,The Eliot at Catskill,300-F-033,99,75,83,40,43,38,24,14,9
2018,4,Westchester,The Fountains at RiverVue,800-F-981,141,110,100,28,72,13,85,11,19
2018,4,Oswego,The Gardens by Morningstar,560-F-042,106,99,98,38,60,29,40,10,11
2018,4,Monroe,The Hamlet at Park Ridge,370-S-193,67,48,45,8,37,7,38,9,15
2018,4,Broome,The Hearth at Castle Gardens,030-S-044,106,69,68,16,52,12,54,,10
2018,4,Onondaga,The Hearth at Greenpoint Senior Living,520-S-129,139,122,129,42,87,19,106,25,15
2018,4,Onondaga,The Hearth on James,520-S-135,60,37,40,18,22,11,27,11,8
2018,4,Suffolk,The Lake Shore Assisted Living Residence,700-F-893,200,110,112,43,69,38,65,14,12
2018,4,Monroe,The Landing at Brighton,370-S-195,121,75,71,19,52,11,59,11,15
2018,4,Dutchess,The Landing of Poughkeepsie,230-S-003,121,89,77,13,64,10,64,12,23
2018,4,Monroe,The Northfield,370-S-847,79,68,66,9,57,13,52,,7
2018,4,Westchester,The Osborn,800-S-141,103,86,86,20,66,9,77,11,11
2018,4,Delaware,The Pavilion at Robinson Terrace,220-F-032,60,53,57,16,41,18,31,8,7
2018,4,Rensselaer,The Pines at Heartwood,600-F-250,86,75,74,31,43,34,23,,8
2018,4,Putnam,The Plaza at Clover Lake,580-F-001,175,126,130,34,96,38,85,15,11
2018,4,Montgomery,"The Sentinel at Amsterdam, LLC",380-F-047,150,59,78,31,47,32,32,31,11
2018,4,Westchester,The Springvale Inn,800-S-129,125,84,85,25,60,17,66,9,9
2018,4,Kings,The Waterford on the Bay,331-F-272,200,175,177,75,102,57,115,17,14
2018,4,Herkimer,"Valley Residential Services, Inc",320-S-001,48,47,47,8,39,7,39,7,7
2018,4,Cortland,Walden Place,210-F-030,86,,66,15,51,11,55,13,13
2018,4,Westchester,Westchester Center for Independent and Assisted Living,800-F-990,195,193,195,83,112,90,72,18,16
2018,4,Columbia,Whittier Place,200-E-005,80,80,73,11,62,23,46,9,12
2018,4,Westchester,Willow Towers EHP,800-S-131,150,135,129,39,90,20,108,14,19
2018,4,Monroe,Wolk Manor Enriched Living Center,370-S-836,85,81,81,19,62,27,53,13,15
2018,4,Chemung,Woodbrook,070-E-011,80,72,69,25,44,8,61,10,13
2018,4,Suffolk,Woodhaven Home for Adults,700-F-905,181,165,167,70,97,78,32,13,16
2018,3,Erie,"Absolut at Orchard Brooke, LLC",240-F-878,80,79,75,22,53,35,36,,8
2018,3,Kings,Amber Court of Brooklyn,331-F-284,224,213,212,138,74,120,88,8,9
2018,3,Bronx,Amber Court of Pelham Gardens,020-F-817,200,192,191,94,97,103,84,12,13
2018,3,Nassau,Amber Court of Westbury,400-F-325,225,171,171,31,140,33,137,18,10
2018,3,Westchester,Atria Briarcliff Manor,800-F-996,200,75,76,14,62,11,64,15,7
2018,3,Albany,Atria Crossgate,000-S-009,83,53,59,20,39,13,43,8,11
2018,3,Nassau,Atria Cutter Mill,400-S-328,130,91,94,27,67,10,82,11,11
2018,3,Albany,Atria Delmar Place,000-S-008,106,90,89,14,75,78,10,9,7
2018,3,Suffolk,Atria East Northport,700-F-929,200,141,148,46,102,22,124,30,23
2018,3,Nassau,Atria Glen Cove,400-S-324,128,74,67,23,44,10,55,,13
2018,3,Albany,Atria Guilderland,000-F-308,120,75,78,30,48,15,60,17,15
2018,3,Suffolk,Atria Huntington,700-F-931,198,89,99,24,75,21,76,22,12
2018,3,Queens,Atria Kew Gardens,590-S-315,175,124,129,42,87,16,109,16,18
2018,3,Nassau,Atria Lynbrook,400-F-326,200,99,100,29,71,20,74,13,13
2018,3,Westchester,Atria on the Hudson,800-S-147,185,122,129,38,91,22,106,19,12
2018,3,Nassau,Atria Park of Great Neck,400-S-326,162,95,101,24,77,12,88,23,17
2018,3,Monroe,Atria Penfield,370-F-212,120,90,98,35,63,25,72,20,13
2018,3,Bronx,Atria Riverdale,020-S-001,195,180,183,48,135,39,141,16,15
2018,3,Albany,Atria Shaker,000-S-011,146,99,96,28,68,11,84,17,20
2018,3,Suffolk,Atria South Setauket,700-F-933,200,83,74,23,51,15,58,16,19
2018,3,Nassau,Atria Tanglewood,400-F-306,160,116,119,32,87,9,110,14,11
2018,3,New York,Atria West 86,420-S-389,189,170,173,52,121,40,129,32,27
2018,3,Chemung,Bethany Village,070-E-002,144,108,116,28,88,26,88,18,10
2018,3,Suffolk,Birchwood Suites,700-F-943,95,64,63,28,35,14,43,7,13
2018,3,Queens,Boulevard ALP,590-S-317,239,226,226,90,136,49,177,22,22
2018,3,Suffolk,Braemar Living at Medford,700-F-921,200,196,196,39,157,67,102,17,17
2018,3,Orange,Braemar Living at Wallkill,540-F-036,200,177,185,55,130,70,103,22,14
2018,3,Queens,Brandywine Assisted Living at The Savoy,590-S-305,160,142,141,43,98,28,110,15,14
2018,3,Niagara,"Briarwood Manor, Inc.",500-F-092,160,112,112,29,83,34,73,13,15
2018,3,Westchester,Brightview Tarrytown,800-F-131,107,100,98,25,73,13,85,8,7
2018,3,Erie,"Bristol Village, Inc.",240-S-107,110,89,83,24,59,11,70,12,18
2018,3,Erie,Brompton Heights,240-F-133,200,106,104,24,80,29,73,16,17
2018,3,Bronx,Bronxwood,020-E-004,320,278,274,181,93,175,54,16,20
2018,3,Onondaga,Brookdale Bellevue,520-F-163,91,51,52,16,36,8,44,8,9
2018,3,Oneida,Brookdale Clinton,510-F-057,40,39,39,9,30,8,31,7,7
2018,3,Albany,Brookdale Colonie,000-F-306,94,62,58,18,40,18,38,,8
2018,3,Schenectady,Brookdale East Niskayuna,650-F-101,52,38,37,14,23,8,29,7,11
2018,3,Onondaga,Brookdale Fayetteville,520-F-145,52,43,43,9,34,8,35,8,8
2018,3,Erie,Brookdale Kenmore,240-S-113,120,91,105,43,62,21,83,20,7
2018,3,Onondaga,Brookdale Liverpool,520-F-165,79,45,45,15,30,7,38,8,8
2018,3,Schenectady,Brookdale Niskayuna,650-S-071,110,99,92,40,52,27,61,13,16
2018,3,Steuben,Brookdale Painted Post,690-F-044,110,78,78,25,53,16,61,7,7
2018,3,Monroe,Brookdale Pittsford,370-F-217,52,44,40,17,23,15,25,7,11
2018,3,Broome,Brookdale Vestal East,030-F-054,116,37,35,8,27,7,28,,7
2018,3,Broome,Brookdale Vestal West,030-F-056,65,30,32,16,16,7,24,10,7
2018,3,Erie,Brookdale Williamsville,240-F-851,52,28,31,11,20,8,23,10,7
2018,3,Kings,Brooklyn Adult Care Center,331-F-278,210,200,204,158,46,96,7,12,8
2018,3,Kings,Brooklyn Boulevard ALP,331-S-014,184,161,179,100,79,89,54,29,11
2018,3,Onondaga,Buckley Landing Enriched Housing Site #6,520-S-121,85,82,82,12,70,14,68,12,13
2018,3,Queens,Castle Senior Living At Forest Hills,590-S-307,177,159,161,55,106,68,85,17,14
2018,3,Queens,"Central Assisted Living, LLC",590-F-322,186,186,186,106,80,102,21,14,14
2018,3,Essex,Champlain Valley Senior Community,260-F-018,81,61,65,21,44,10,55,12,8
2018,3,Ontario,Clark Meadows at Ferris Hills,530-S-003,54,48,47,13,34,9,38,11,12
2018,3,Yates,Clinton Crest Manor,910-E-004,42,36,34,9,25,9,23,,8
2018,3,Monroe,Cobbs Hill Manor,370-F-242,118,81,88,45,43,42,22,22,16
2018,3,Monroe,Crimson Ridge Gardens,370-F-226,52,44,46,12,34,9,35,17,18
2018,3,Rensselaer,Danforth Adult Care Center,600-F-244,80,80,77,22,55,28,44,,7
2018,3,Erie,Dosberg Manor,240-E-141,96,74,75,22,53,10,63,18,15
2018,3,Erie,Eden Heights,240-F-900,120,83,79,25,54,12,65,17,21
2018,3,Erie,Eden Heights of West Seneca,240-F-848,120,102,91,28,63,15,74,9,20
2018,3,Erie,Elderwood Assisted Living at Hamburg,240-S-117,103,96,99,16,83,34,63,14,12
2018,3,Erie,Elderwood Assisted Living at Tonawanda,240-F-890,120,83,89,15,74,12,76,16,14
2018,3,Erie,Elderwood Assisted Living at West Seneca,240-S-119,128,109,108,16,92,15,93,14,15
2018,3,Erie,Elderwood Village at Willamsville,240-S-115,110,85,81,13,68,9,72,13,17
2018,3,Queens,Elm York Home for Adults,590-F-319,262,254,252,131,121,110,25,10,12
2018,3,Monroe,Emeritus at the Landing of Brockport,370-S-849,114,85,83,24,59,7,75,,10
2018,3,Warren,Emeritus at the Landing of Queensbury,750-S-003,88,55,55,18,37,10,44,10,8
2018,3,Chautauqua,Frewsburg Rest Home,060-F-035,81,56,55,24,31,11,34,8,9
2018,3,Genesee,Genesee Adult Home,290-F-007,80,67,68,25,43,27,33,8,8
2018,3,Erie,Glenwell,240-E-146,120,87,87,28,59,28,55,7,11
2018,3,Monroe,Grande'Vie Senior Living Community,370-F-231,178,86,88,28,60,16,70,20,19
2018,3,Monroe,Grande'ville Senior Living Community,370-F-230,115,105,105,31,74,11,94,26,26
2018,3,Suffolk,Gurwin Jewish Fay J. Lindner Residence,700-E-288,65,53,60,13,47,8,52,14,7
2018,3,Suffolk,Gurwin Jewish Fay J. Lindner Residence,700-S-289,200,156,158,42,116,11,147,11,9
2018,3,Otsego,Hampshire House Adult Home,570-F-048,65,50,49,20,29,7,42,,7
2018,3,Nassau,Harbor House,400-F-305,136,102,106,36,70,30,75,14,10
2018,3,Richmond,Harbor Terrace Adult Home and Assisted Living,610-F-064,363,275,274,171,103,107,25,18,18
2018,3,Kings,Harbor View Home for Adults,331-F-282,162,83,81,35,46,19,52,8,10
2018,3,Rensselaer,"Hawthorne Ridge, Inc.",600-E-114,66,59,56,17,39,8,47,12,18
2018,3,Monroe,Heather Heights of Pittsford,370-F-220,120,86,83,27,56,16,66,16,19
2018,3,Monroe,Heathwood Assisted Living at Penfield,370-S-852,151,113,109,22,87,16,91,14,19
2018,3,Erie,Heathwood Assisted Living at Williamsville,240-F-881,115,102,99,21,78,13,86,10,15
2018,3,Dutchess,"Hedgewood ALP, LLC",230-F-082,192,190,187,121,66,81,19,12,15
2018,3,Broome,Hilltop Manor West,030-E-008,98,91,89,15,74,9,78,7,9
2018,3,Monroe,Hilton East Assisted Living,370-F-208,205,136,139,51,88,54,64,14,12
2018,3,Saratoga,Home of the Good Shepherd,640-E-037,42,37,38,24,14,9,29,10,10
2018,3,Saratoga,Home of the Good Shepherd at Highpointe,640-E-036,86,81,79,17,62,8,70,8,10
2018,3,Saratoga,Home of the Good Shepherd Saratoga,640-E-042,105,91,92,19,73,10,82,12,11
2018,3,Chautauqua,Hultquist Place,060-E-015,96,89,87,20,67,16,71,,9
2018,3,Dutchess,"Hyde Park Assisted Living Facility, Inc.",230-F-282,78,56,57,24,33,25,23,9,9
2018,3,Broome,Ideal Senior Living Center,030-E-039,70,69,65,18,47,10,55,9,12
2018,3,Nassau,Island Assisted Living,400-E-295,200,197,194,84,110,86,70,17,20
2018,3,Onondaga,Keepsake Village at Greenpoint,520-F-143,57,54,51,20,31,12,37,10,9
2018,3,Albany,Kenwood Manor,000-E-282,67,48,47,22,25,14,27,7,8
2018,3,Schenectady,"Kingsway Manor, LLC",650-F-103,140,122,122,31,91,10,112,20,20
2018,3,Nassau,Long Beach Assisted Living,400-F-301,200,197,200,129,71,109,26,18,16
2018,3,Queens,Long Island Living Center,590-F-328,306,168,172,72,100,77,87,16,12
2018,3,Tompkins,"Longview, an Ithacare Community",730-E-002,96,84,85,27,58,26,45,12,11
2018,3,Onondaga,Loretto EHP #1 Bernardine Apartments,520-S-054,148,120,122,48,74,84,26,13,11
2018,3,Onondaga,Loretto Village Apts. Enriched Housing Site #5,520-S-120,79,77,79,19,60,9,69,9,7
2018,3,New York,Lott Assisted Living Residence,420-S-391,131,126,126,51,75,46,80,8,8
2018,3,Oneida,Lutheran Home of Central New York,510-E-007,68,46,40,13,27,13,27,,8
2018,3,Queens,"Madison York Assisted Living Community, LLC",590-F-320,226,215,212,121,91,116,62,10,13
2018,3,Queens,Madison York Home for Adults,590-F-321,202,188,190,117,73,104,36,12,10
2018,3,Allegany,Manor Hills,010-F-017,137,108,108,32,76,26,78,14,14
2018,3,Richmond,"Mariners Residence, Inc.",610-F-066,270,211,211,128,83,117,22,17,16
2018,3,Erie,Mary Agnes Manor ALP,240-F-868,230,187,183,95,88,114,49,15,19
2018,3,Suffolk,McPeak's Adult Home,700-F-051,51,46,47,15,32,30,16,10,10
2018,3,Chautauqua,Memory Garden,060-F-040,56,55,48,17,31,14,32,,12
2018,3,Kings,Mermaid Manor Home for Adults,331-F-276,200,191,190,125,65,95,20,13,14
2018,3,Livingston,Morgan Estates,350-F-008,78,63,63,12,51,7,55,7,7
2018,3,Orange,Mount Alverno Center,540-E-051,85,42,43,10,33,15,26,9,8
2018,3,Niagara,Mount View Assisted Living,500-F-105,150,141,141,41,100,57,65,16,16
2018,3,Richmond,New Broadview Home For Adults,610-F-067,200,188,184,97,87,98,32,9,13
2018,3,Suffolk,New Brookhaven Town House for Adults,700-F-287,182,177,174,116,58,60,7,,9
2018,3,Queens,"New Homestead Home for Adults, Inc.",590-F-311,163,102,106,40,66,34,66,13,8
2018,3,Orange,New Windsor Country Inn,540-F-026,86,52,52,16,36,7,45,8,8
2018,3,Cayuga,North Brook Heights Home for Adults,050-F-022,178,101,95,35,60,35,43,10,16
2018,3,Kings,Norwegian Christian Home and Health Care Center,331-E-030,88,83,79,19,60,20,55,,8
2018,3,Erie,Oakwood Senior Living,240-F-888,148,106,100,49,51,35,9,7,13
2018,3,Kings,Oceanview Manor Home for Adults,331-F-270,176,166,167,116,51,81,8,11,10
2018,3,Erie,Orchard Heights,240-F-884,200,142,146,42,104,21,124,25,31
2018,3,Onondaga,Park Terrace at Radisson,520-F-169,65,52,52,7,45,8,44,,11
2018,3,Albany,Peregrine Senior Living at Colonie,000-F-312,86,37,53,13,40,8,42,20,12
2018,3,Erie,Peregrine's Landing at Orchard Park,240-F-827,52,49,46,11,35,8,38,8,11
2018,3,Fulton,Pineview Commons H.F.A.,280-F-034,94,75,81,19,62,27,50,14,7
2018,3,Oneida,Presbyterian Residential Community,510-E-065,96,87,86,21,65,21,64,8,9
2018,3,Rockland,Promenade at Blue Hill,620-F-085,61,44,43,10,33,9,33,8,9
2018,3,Rockland,Promenade at Chestnut Ridge,620-F-081,198,93,90,22,68,9,79,9,10
2018,3,Orange,Promenade at Middletown,540-F-032,163,143,138,36,102,58,76,12,11
2018,3,Queens,Queens Adult Care Center,590-F-309,352,343,339,239,100,155,23,17,21
